Requirement ID,Component,Type,Title,Description,Priority,Verification Method,Status,
SYS-001,System,Functional,MsgPulse IPC,The system shall facilitate IPC via QNX MsgPulse for asynchronous watchdog heartbeats and event notification.,Critical,Demonstration,Implemented,
SYS-002,System,Non-Functional,Core Affinity - WDG,The Watchdog (Consumer) process shall be bound to CPU Core 0 to ensure high-availability monitoring.,High,Inspection,Implemented,
SYS-003,System,Non-Functional,Core Affinity - Producer,The Producer process shall be bound to CPU Core 2 to isolate high-frequency generation load.,High,Inspection,Implemented,
SYS-004,System,Functional,Windowed Watchdog Logic,The system shall implement a Windowed (PWM-style) Watchdog. Total Cycle: 400ms. Open Window: 0-300ms (Pulses accepted). Closed Window: 300-400ms (Pulses rejected as logic failure).,Critical,Analysis,Implemented,
PROD-001,Producer,Functional,Periodic Heartbeat,The Producer shall transmit a MsgPulse heartbeat every 200ms (center of the 300ms open window) using CLOCK_MONOTONIC to ensure delivery despite scheduling jitter.,Critical,Test,Failed - Code uses usleep(),
PROD-002,Producer,Safety,Synchronous Handshake,The Producer shall establish a connection via name_open() and perform a synchronous MsgSend/MsgReply handshake with the Watchdog before starting heartbeats.,Critical,Analysis,Failed - Code uses usleep() loop,
PROD-005,Producer,Functional,Initialization Handshake,The Producer shall wait for handshake with the software watchdog for 10s before failing.,Medium,Test,Implemented,
CONS-001,Consumer,Functional,Pulse Reception,The Watchdog shall use MsgReceivePulse() to block on the channel and process incoming heartbeats with minimal latency.,Critical,Test,Implemented,
CONS-002,Consumer,Safety,Watchdog Failure Handling,The Watchdog shall maintain a failure counter for missed pulses or pulses arriving in the closed window. Upon 5 consecutive failures, the system shall transition to a Safe State (e.g. Hardware Reset).,High,Test,Implemented
CONS-003,Consumer,Functional,Channel Management,The Watchdog shall create the QNX Channel (ChannelCreate) and register its name via name_attach(). Channel priority shall be set to 99.,Critical,Demonstration,Implemented,
CONS-004,Consumer,Functional,Warm Reconnection,The Watchdog shall support Producer reconnection to the existing Channel without requiring a full system restart.,High,Test,Implemented,
SYNC-002,Synchronization,Non-Functional,Deadlock Avoidance,The system shall employ a single-lock strategy.,Critical,Analysis,Implemented,
ERR-001,Error Handling,Safety,Resource Validation,Both processes shall validate channel creation and exit with non-zero status on failure.,High,Test,Implemented,
ERR-002,Error Handling,Safety,Signal Safety,Signal handlers shall be limited to async-signal-safe operations (e.g. broadcasting cond var).,High,Inspection,Pending Fix,
MEM-001,Memory,Non-Functional,E2E Pulse Protection,The 32-bit MsgPulse payload shall include an 8-bit Sequence Counter and an 8-bit CRC to ensure data integrity and detect stale pulses (ASIL B).,High,Analysis,Implemented,
ARCH-001,Architecture,Safety,Temporal Isolation,Producer and Consumer timing shall be driven by CLOCK_MONOTONIC and remain independent to prevent timing-related cascaded failures and clock-jump sensitivity.,Critical,Analysis,Implemented,
TEST-001,Testing,Functional,FIFO Integrity,Verify that messages are dequeued in the exact order they were enqueued under high load.,High,Test,Not Tested,
TEST-002,Testing,Safety,Window Violation Detection,Verify that the Watchdog triggers a failure if a pulse is received between 300ms and 400ms of the cycle.,High,Test,Not Tested,
TEST-003,Testing,Functional,Channel Persistence,Verify that the QNX Channel remains available if the Producer process is killed and restarted.,Medium,Test,Not Tested,
